t, q0, q1, q0ref, q1ref
0.034500 -0.997676, 0.000409, -1.000000, 0.000000
0.034750 -0.997649, 0.000415, -1.000000, 0.000000
0.035000 -0.997622, 0.000422, -1.000000, 0.000000
0.035250 -0.997595, 0.000429, -1.000000, 0.000000
0.035500 -0.997568, 0.000435, -1.000000, 0.000000
0.035750 -0.997541, 0.000442, -1.000000, 0.000000
0.036000 -0.997514, 0.000448, -1.000000, 0.000000
0.036250 -0.997487, 0.000455, -1.000000, 0.000000
0.036500 -0.997460, 0.000462, -1.000000, 0.000000
0.036750 -0.997432, 0.000468, -1.000000, 0.000000
0.037000 -0.997405, 0.000475, -1.000000, 0.000000
0.037250 -0.997378, 0.000482, -1.000000, 0.000000
0.037500 -0.997350, 0.000489, -1.000000, 0.000000
0.037750 -0.997322, 0.000495, -1.000000, 0.000000
0.038000 -0.997295, 0.000502, -1.000000, 0.000000
0.038250 -0.997267, 0.000509, -1.000000, 0.000000
0.038500 -0.997240, 0.000516, -1.000000, 0.000000
0.038750 -0.997212, 0.000523, -1.000000, 0.000000
0.039000 -0.997184, 0.000530, -1.000000, 0.000000
0.039250 -0.997156, 0.000537, -1.000000, 0.000000
0.039500 -0.997128, 0.000544, -1.000000, 0.000000
0.039750 -0.997100, 0.000551, -1.000000, 0.000000
0.040000 -0.997072, 0.000558, -1.000000, 0.000000
0.040250 -0.997044, 0.000565, -1.000000, 0.000000
0.040500 -0.997016, 0.000572, -1.000000, 0.000000
0.040750 -0.996988, 0.000579, -1.000000, 0.000000
0.041000 -0.996960, 0.000586, -1.000000, 0.000000
0.041250 -0.996931, 0.000593, -1.000000, 0.000000
0.041500 -0.996903, 0.000600, -1.000000, 0.000000
0.041750 -0.996875, 0.000607, -1.000000, 0.000000
0.042000 -0.996846, 0.000615, -1.000000, 0.000000
0.042250 -0.996818, 0.000622, -1.000000, 0.000000
0.042500 -0.996790, 0.000629, -1.000000, 0.000000
0.042750 -0.996761, 0.000636, -1.000000, 0.000000
0.043000 -0.996732, 0.000643, -1.000000, 0.000000
0.043250 -0.996704, 0.000651, -1.000000, 0.000000
0.043500 -0.996675, 0.000658, -1.000000, 0.000000
0.043750 -0.996647, 0.000665, -1.000000, 0.000000
0.044000 -0.996618, 0.000672, -1.000000, 0.000000
0.044250 -0.996589, 0.000680, -1.000000, 0.000000
0.044500 -0.996561, 0.000687, -1.000000, 0.000000
0.044750 -0.996532, 0.000694, -1.000000, 0.000000
0.045000 -0.996503, 0.000702, -1.000000, 0.000000
0.045250 -0.996474, 0.000709, -1.000000, 0.000000
0.045500 -0.996445, 0.000717, -1.000000, 0.000000
0.045750 -0.996416, 0.000724, -1.000000, 0.000000
0.046000 -0.996388, 0.000731, -1.000000, 0.000000
0.046250 -0.996359, 0.000739, -1.000000, 0.000000
0.046500 -0.996330, 0.000746, -1.000000, 0.000000
0.046750 -0.996301, 0.000754, -1.000000, 0.000000
0.047000 -0.996272, 0.000761, -1.000000, 0.000000
0.047250 -0.996243, 0.000769, -1.000000, 0.000000
0.047500 -0.996214, 0.000776, -1.000000, 0.000000
0.047750 -0.996184, 0.000784, -1.000000, 0.000000
0.048000 -0.996155, 0.000791, -1.000000, 0.000000
0.048250 -0.996126, 0.000799, -1.000000, 0.000000
0.048500 -0.996097, 0.000806, -1.000000, 0.000000
0.048750 -0.996068, 0.000814, -1.000000, 0.000000
0.049000 -0.996039, 0.000821, -1.000000, 0.000000
0.049250 -0.996010, 0.000829, -1.000000, 0.000000
0.049500 -0.995980, 0.000836, -1.000000, 0.000000
0.049750 -0.995951, 0.000844, -1.000000, 0.000000
